# Undirected graph (each unordered pair of nodes is saved once): data_created/graphs/user-user.txt
# User-user graph created using posts
# Nodes: 31834 Edges: 335739
# NodeId	NodeId
56	53008
56	53268
56	54050
56	59304
56	74222
56	80097
56	80863
56	88497
56	114917
56	159661
56	174221
56	175024
56	190287
56	200622
56	221272
30	30
30	34
30	35
30	45
30	50
30	51
30	56
30	67
30	72
30	76
30	80
30	82
30	89
30	96
30	99
30	114
30	115
30	120
30	121
30	122
30	123
30	129
30	136
30	157
30	166
30	180
30	198
30	207
30	209
30	211
30	215
30	232
30	242
30	247
30	256
30	264
30	272
30	297
30	298
30	317
30	334
30	409
30	441
30	442
30	446
30	467
30	496
30	498
30	536
30	622
30	688
30	705
30	752
30	763
30	785
30	822
30	871
30	873
30	876
30	956
30	1035
30	1069
30	1101
30	1102
30	1369
30	1457
30	1630
30	1702
30	1770
30	1827
30	2032
30	2048
30	2199
30	2254
30	2344
30	2548
30	2947
30	3018
30	3567
30	3787
30	4253
30	4706
30	4726
30	4880
30	5189
30	5211
30	6460
30	6678
30	6982
30	7012
30	7162
30	8269
30	8297
30	9754
30	9968
30	10704
30	11667
30	11675
30	12523
30	12642
30	12715
30	12802
30	13528
30	13618
30	13854
30	18321
30	19331
30	21855
30	25554
30	28869
30	29949
30	31917
30	32940
30	32967
30	34930
30	38779
30	39492
30	52394
30	52942
30	53008
30	53846
30	55074
30	59487
30	62704
30	66585
30	75092
30	75333
30	75450
30	78451
30	85343
30	86570
30	103004
30	123106
30	127032
30	159352
30	171303
30	174221
30	190287
30	200622
72	72
72	73
72	76
72	84
72	89
72	91
72	92
72	99
72	113
72	115
72	120
72	121
72	122
72	123
72	130
72	136
72	139
72	145
72	152
72	163
72	167
72	171
72	172
72	173
72	176
72	198
72	205
72	207
72	208
72	209
72	210
72	211
72	215
72	219
72	220
72	221
72	226
72	229
72	232
72	242
72	247
72	251
72	263
72	264
72	271
72	273
72	274
72	275
72	308
72	312
72	331
72	333
72	334
72	346
72	354
72	360
72	367
72	400
72	409
72	434
72	439
72	442
72	446
72	462
72	467
72	496
72	498
72	505
72	506
72	512
72	536
72	541
72	575
72	589
72	622
72	633
72	640
72	642
72	660
72	664
72	677
72	688
72	705
72	722
72	723
72	728
72	742
72	752
72	757
72	763
72	766
72	796
72	820
72	822
72	823
72	831
72	856
72	871
72	873
72	875
72	876
72	899
72	900
72	917
72	923
72	940
72	943
72	954
72	956
72	964
72	998
72	1016
72	1028
72	1035
72	1069
72	1099
72	1102
72	1120
72	1151
72	1154
72	1242
72	1269
72	1277
72	1284
72	1301
72	1303
72	1310
72	1313
72	1369
72	1409
72	1415
72	1417
72	1421
72	1424
72	1432
72	1457
72	1461
72	1489
72	1505
72	1508
72	1523
72	1543
72	1562
72	1583
72	1702
72	1714
72	1726
72	1747
72	1769
72	1796
72	1818
72	1827
72	1828
72	1865
72	1906
72	1919
72	1930
72	1995
72	2029
72	2032
72	2109
72	2199
72	2215
72	2236
72	2254
72	2263
72	2320
72	2323
72	2344
72	2465
72	2499
72	2513
72	2546
72	2548
72	2563
72	2641
72	2660
72	2720
72	2743
72	2757
72	2778
72	2839
72	2900
72	2906
72	2937
72	2947
72	2954
72	3018
72	3035
72	3060
72	3111
72	3123
72	3212
72	3217
72	3249
72	3301
72	3374
72	3407
72	3421
72	3431
72	3515
72	3567
72	3595
72	3638
72	3731
72	3736
72	3791
72	3936
72	3964
72	4154
72	4241
72	4290
72	4726
72	4728
72	4781
72	4873
72	4992
72	5001
72	5189
72	5191
72	5226
72	5344
72	5363
72	5422
72	5476
72	5546
72	5676
72	5703
72	5904
72	5952
72	5966
72	5971
