# Undirected graph (each unordered pair of nodes is saved once): data_created_physics/graphs/user-user.txt
# User-user graph created using posts
# Nodes: 9903 Edges: 56885
# NodeId	NodeId
4864	7708
4864	7743
4864	7754
4864	7786
4864	7819
4864	7827
4864	7883
4864	7903
4864	7911
4864	7924
4864	7927
4864	7951
4864	7995
4864	8007
4864	8075
4864	8154
4864	8171
4864	8197
4864	8208
4864	8252
4864	8260
4864	8263
4864	8307
4864	8310
4864	8312
4864	8333
4864	8338
4864	8434
4864	8448
4864	8481
4864	8491
4864	8498
4864	8521
4864	8543
4864	8554
4864	8556
4864	8563
4864	8570
4864	8609
4864	8626
4864	8629
4864	8692
4864	8718
4864	8736
4864	8790
4864	8841
4864	8857
4864	8861
4864	8889
4864	8895
4864	8901
4864	8940
4864	8950
4864	8969
4864	8983
4864	8996
4864	9004
4864	9018
4864	9048
4864	9058
4864	9070
4864	9082
4864	9095
4864	9098
4864	9101
4864	9131
4864	9173
4864	9190
4864	9192
4864	9204
4864	9239
4864	9267
4864	9272
4864	9290
4864	9296
4864	9315
4864	9386
4864	9438
4864	9444
4864	9476
4864	9549
4864	9551
4864	9601
4864	9610
4864	9637
4864	9642
4864	9662
4864	9687
4864	9719
4864	9759
4864	9776
4864	9788
4864	9887
4864	9903
4864	9960
4864	10001
4864	10024
4864	10048
4864	10068
4864	10100
4864	10236
4864	10334
4864	10336
4864	10346
4864	10351
4864	10402
4864	10435
4864	10455
4864	10456
4864	10468
4864	10480
4864	10522
4864	10531
4864	10598
4864	10606
4864	10607
4864	10610
4864	10615
4864	10627
4864	10635
4864	10645
4864	10652
4864	10655
4864	10658
4864	10678
4864	10712
4864	10742
4864	10779
4864	10788
4864	10806
4864	10822
4864	10836
4864	10851
4864	10852
4864	10924
4864	10937
4864	10965
4864	10978
4864	10986
4864	11016
4864	11029
4864	11038
4864	11040
4864	11062
4864	11075
4864	11100
4864	11176
4864	11192
4864	11203
4864	11205
4864	11206
4864	11432
4864	11438
4864	11465
4864	11483
4864	11529
4864	11543
4864	11547
4864	11582
4864	11585
4864	11607
4864	11625
4864	11635
4864	11637
4864	11639
4864	11668
4864	11676
4864	11690
4864	11696
4864	11701
4864	11707
4864	11708
4864	11712
4864	11713
4864	11740
4864	11805
4864	11811
4864	11820
4864	11849
4864	11856
4864	11857
4864	11920
4864	11933
4864	11953
4864	12011
4864	12023
4864	12040
4864	12041
4864	12094
4864	12103
4864	12223
4864	12227
4864	12230
4864	12232
4864	12240
4864	12298
4864	12327
4864	12332
4864	12333
4864	12366
4864	12490
